Date,Series,Value,Frequency
1987-10-01,Female,34.1,Monthly
1987-11-01,Female,34,Monthly
1987-12-01,Female,33.9,Monthly
1988-01-01,Female,33.8,Monthly
1988-02-01,Female,33.8,Monthly
1988-03-01,Female,33.7,Monthly
1988-04-01,Female,33.7,Monthly
1988-05-01,Female,33.6,Monthly
1988-06-01,Female,33.5,Monthly
1988-07-01,Female,33.4,Monthly
1988-08-01,Female,33.2,Monthly
1988-09-01,Female,33.1,Monthly
1988-10-01,Female,33,Monthly
1988-11-01,Female,32.9,Monthly
1988-12-01,Female,32.8,Monthly
1989-01-01,Female,32.7,Monthly
1989-02-01,Female,32.6,Monthly
1989-03-01,Female,32.5,Monthly
1989-04-01,Female,32.5,Monthly
1989-05-01,Female,32.5,Monthly
1989-06-01,Female,32.5,Monthly
1989-07-01,Female,32.5,Monthly
1989-08-01,Female,32.5,Monthly
1989-09-01,Female,32.4,Monthly
1989-10-01,Female,32.3,Monthly
1989-11-01,Female,32.2,Monthly
1989-12-01,Female,32.2,Monthly
1990-01-01,Female,32.2,Monthly
1990-02-01,Female,32.2,Monthly
1990-03-01,Female,32.2,Monthly
1990-04-01,Female,32.1,Monthly
1990-05-01,Female,32,Monthly
1990-06-01,Female,31.9,Monthly
1990-07-01,Female,31.9,Monthly
1990-08-01,Female,32,Monthly
1990-09-01,Female,32,Monthly
1990-10-01,Female,32,Monthly
1990-11-01,Female,32,Monthly
1990-12-01,Female,32,Monthly
1991-01-01,Female,32.1,Monthly
1991-02-01,Female,32.2,Monthly
1991-03-01,Female,32.2,Monthly
1991-04-01,Female,32.2,Monthly
1991-05-01,Female,32.3,Monthly
1991-06-01,Female,32.3,Monthly
1991-07-01,Female,32.4,Monthly
1991-08-01,Female,32.5,Monthly
1991-09-01,Female,32.6,Monthly
1991-10-01,Female,32.7,Monthly
1991-11-01,Female,32.8,Monthly
1991-12-01,Female,32.9,Monthly
1992-01-01,Female,32.9,Monthly
1992-02-01,Female,32.9,Monthly
1992-03-01,Female,32.9,Monthly
1992-04-01,Female,32.9,Monthly
1992-05-01,Female,33,Monthly
1992-06-01,Female,33.1,Monthly
1992-07-01,Female,33.1,Monthly
1992-08-01,Female,33.1,Monthly
1992-09-01,Female,33.1,Monthly
1992-10-01,Female,32.9,Monthly
1992-11-01,Female,33,Monthly
1992-12-01,Female,32.9,Monthly
1993-01-01,Female,32.9,Monthly
1993-02-01,Female,33,Monthly
1993-03-01,Female,32.9,Monthly
1993-04-01,Female,32.8,Monthly
1993-05-01,Female,32.8,Monthly
1993-06-01,Female,32.8,Monthly
1993-07-01,Female,32.8,Monthly
1993-08-01,Female,32.7,Monthly
1993-09-01,Female,32.6,Monthly
1993-10-01,Female,32.7,Monthly
1993-11-01,Female,32.7,Monthly
1993-12-01,Female,32.7,Monthly
1994-01-01,Female,32.7,Monthly
1994-02-01,Female,32.6,Monthly
1994-03-01,Female,32.6,Monthly
1994-04-01,Female,32.7,Monthly
1994-05-01,Female,32.7,Monthly
1994-06-01,Female,32.7,Monthly
1994-07-01,Female,32.8,Monthly
1994-08-01,Female,32.8,Monthly
1994-09-01,Female,32.9,Monthly
1994-10-01,Female,33,Monthly
1994-11-01,Female,33.1,Monthly
1994-12-01,Female,33.2,Monthly
1995-01-01,Female,32.9,Monthly
1995-02-01,Female,32.8,Monthly
1995-03-01,Female,32.6,Monthly
1995-04-01,Female,32.7,Monthly
1995-05-01,Female,32.7,Monthly
1995-06-01,Female,32.5,Monthly
1995-07-01,Female,32.4,Monthly
1995-08-01,Female,32.3,Monthly
1995-09-01,Female,32.3,Monthly
1995-10-01,Female,32.3,Monthly
1995-11-01,Female,32.2,Monthly
1995-12-01,Female,32.1,Monthly
1996-01-01,Female,32.2,Monthly
1996-02-01,Female,32.3,Monthly
1996-03-01,Female,32.3,Monthly
1996-04-01,Female,32.1,Monthly
1996-05-01,Female,32.1,Monthly
1996-06-01,Female,32.3,Monthly
1996-07-01,Female,32.2,Monthly
1996-08-01,Female,32.2,Monthly
1996-09-01,Female,32,Monthly
1996-10-01,Female,31.9,Monthly
1996-11-01,Female,31.8,Monthly
1996-12-01,Female,31.8,Monthly
1997-01-01,Female,31.7,Monthly
1997-02-01,Female,31.8,Monthly
1997-03-01,Female,31.7,Monthly
1997-04-01,Female,31.7,Monthly
1997-05-01,Female,31.5,Monthly
1997-06-01,Female,31.5,Monthly
1997-07-01,Female,31.6,Monthly
1997-08-01,Female,31.6,Monthly
1997-09-01,Female,31.8,Monthly
1997-10-01,Female,31.8,Monthly
1997-11-01,Female,31.8,Monthly
1997-12-01,Female,32,Monthly
1998-01-01,Female,31.9,Monthly
1998-02-01,Female,31.8,Monthly
1998-03-01,Female,31.7,Monthly
1998-04-01,Female,31.8,Monthly
1998-05-01,Female,31.8,Monthly
1998-06-01,Female,31.6,Monthly
1998-07-01,Female,31.5,Monthly
1998-08-01,Female,31.5,Monthly
1998-09-01,Female,31.3,Monthly
1998-10-01,Female,31.2,Monthly
1998-11-01,Female,31.3,Monthly
1998-12-01,Female,31,Monthly
1999-01-01,Female,31.1,Monthly
1999-02-01,Female,31.1,Monthly
1999-03-01,Female,31.1,Monthly
1999-04-01,Female,31.2,Monthly
1999-05-01,Female,31.2,Monthly
1999-06-01,Female,31.2,Monthly
1999-07-01,Female,31.1,Monthly
1999-08-01,Female,31,Monthly
1999-09-01,Female,31.1,Monthly
1999-10-01,Female,30.9,Monthly
1999-11-01,Female,30.8,Monthly
1999-12-01,Female,30.9,Monthly
2000-01-01,Female,30.8,Monthly
2000-02-01,Female,30.8,Monthly
2000-03-01,Female,30.8,Monthly
2000-04-01,Female,30.8,Monthly
2000-05-01,Female,30.8,Monthly
2000-06-01,Female,30.6,Monthly
2000-07-01,Female,30.6,Monthly
2000-08-01,Female,30.5,Monthly
2000-09-01,Female,30.6,Monthly
2000-10-01,Female,30.9,Monthly
2000-11-01,Female,30.9,Monthly
2000-12-01,Female,30.7,Monthly
2001-01-01,Female,30.8,Monthly
2001-02-01,Female,31,Monthly
2001-03-01,Female,30.8,Monthly
2001-04-01,Female,30.8,Monthly
2001-05-01,Female,30.7,Monthly
2001-06-01,Female,30.8,Monthly
2001-07-01,Female,30.9,Monthly
2001-08-01,Female,31,Monthly
2001-09-01,Female,30.9,Monthly
2001-10-01,Female,30.7,Monthly
2001-11-01,Female,30.6,Monthly
2001-12-01,Female,30.8,Monthly
2002-01-01,Female,30.8,Monthly
2002-02-01,Female,30.8,Monthly
2002-03-01,Female,30.5,Monthly
2002-04-01,Female,30.4,Monthly
2002-05-01,Female,30.4,Monthly
2002-06-01,Female,30.5,Monthly
2002-07-01,Female,30.3,Monthly
2002-08-01,Female,30.4,Monthly
2002-09-01,Female,30.3,Monthly
2002-10-01,Female,30.3,Monthly
2002-11-01,Female,30.4,Monthly
2002-12-01,Female,30.6,Monthly
2003-01-01,Female,30.6,Monthly
2003-02-01,Female,30.5,Monthly
2003-03-01,Female,30.5,Monthly
2003-04-01,Female,30.6,Monthly
2003-05-01,Female,30.6,Monthly
2003-06-01,Female,30.5,Monthly
2003-07-01,Female,30.6,Monthly
2003-08-01,Female,30.5,Monthly
2003-09-01,Female,30.4,Monthly
2003-10-01,Female,30.4,Monthly
2003-11-01,Female,30.4,Monthly
2003-12-01,Female,30.2,Monthly
2004-01-01,Female,30.1,Monthly
2004-02-01,Female,30.1,Monthly
2004-03-01,Female,30.2,Monthly
2004-04-01,Female,30.2,Monthly
2004-05-01,Female,30.3,Monthly
2004-06-01,Female,30.4,Monthly
2004-07-01,Female,30.5,Monthly
2004-08-01,Female,30.4,Monthly
2004-09-01,Female,30.3,Monthly
2004-10-01,Female,30.3,Monthly
2004-11-01,Female,30.2,Monthly
2004-12-01,Female,30.1,Monthly
2005-01-01,Female,29.8,Monthly
2005-02-01,Female,30.1,Monthly
2005-03-01,Female,30.2,Monthly
2005-04-01,Female,30.1,Monthly
2005-05-01,Female,30.1,Monthly
2005-06-01,Female,30.1,Monthly
2005-07-01,Female,30,Monthly
2005-08-01,Female,29.9,Monthly
2005-09-01,Female,30,Monthly
2005-10-01,Female,30.1,Monthly
2005-11-01,Female,30.1,Monthly
2005-12-01,Female,30,Monthly
2006-01-01,Female,29.8,Monthly
2006-02-01,Female,29.5,Monthly
2006-03-01,Female,29.6,Monthly
2006-04-01,Female,29.6,Monthly
2006-05-01,Female,29.4,Monthly
2006-06-01,Female,29.4,Monthly
2006-07-01,Female,29.3,Monthly
2006-08-01,Female,29.7,Monthly
2006-09-01,Female,29.7,Monthly
2006-10-01,Female,29.7,Monthly
2006-11-01,Female,29.7,Monthly
2006-12-01,Female,29.8,Monthly
2007-01-01,Female,30,Monthly
2007-02-01,Female,29.9,Monthly
2007-03-01,Female,30,Monthly
2007-04-01,Female,29.9,Monthly
2007-05-01,Female,29.9,Monthly
2007-06-01,Female,29.9,Monthly
2007-07-01,Female,29.9,Monthly
2007-08-01,Female,29.9,Monthly
2007-09-01,Female,29.8,Monthly
2007-10-01,Female,29.8,Monthly
2007-11-01,Female,29.7,Monthly
2007-12-01,Female,29.7,Monthly
2008-01-01,Female,29.6,Monthly
2008-02-01,Female,29.6,Monthly
2008-03-01,Female,29.5,Monthly
2008-04-01,Female,29.4,Monthly
2008-05-01,Female,29.5,Monthly
2008-06-01,Female,29.5,Monthly
2008-07-01,Female,29.5,Monthly
2008-08-01,Female,29.6,Monthly
2008-09-01,Female,29.6,Monthly
2008-10-01,Female,29.5,Monthly
2008-11-01,Female,29.5,Monthly
2008-12-01,Female,29.3,Monthly
2009-01-01,Female,29.5,Monthly
2009-02-01,Female,29.4,Monthly
2009-03-01,Female,29.5,Monthly
2009-04-01,Female,29.5,Monthly
2009-05-01,Female,29.6,Monthly
2009-06-01,Female,29.7,Monthly
2009-07-01,Female,29.6,Monthly
2009-08-01,Female,29.5,Monthly
2009-09-01,Female,29.5,Monthly
2009-10-01,Female,29.4,Monthly
2009-11-01,Female,29.4,Monthly
2009-12-01,Female,29.6,Monthly
2010-01-01,Female,29.6,Monthly
2010-02-01,Female,29.6,Monthly
2010-03-01,Female,29.7,Monthly
2010-04-01,Female,29.5,Monthly
2010-05-01,Female,29.6,Monthly
2010-06-01,Female,29.3,Monthly
2010-07-01,Female,29.4,Monthly
2010-08-01,Female,29.3,Monthly
2010-09-01,Female,29.5,Monthly
2010-10-01,Female,29.7,Monthly
2010-11-01,Female,29.7,Monthly
2010-12-01,Female,29.6,Monthly
2011-01-01,Female,29.4,Monthly
2011-02-01,Female,29.4,Monthly
2011-03-01,Female,29.7,Monthly
2011-04-01,Female,29.4,Monthly
2011-05-01,Female,29.4,Monthly
2011-06-01,Female,29.4,Monthly
2011-07-01,Female,29.4,Monthly
2011-08-01,Female,29.2,Monthly
2011-09-01,Female,29.2,Monthly
2011-10-01,Female,29.1,Monthly
2011-11-01,Female,29.1,Monthly
2011-12-01,Female,29.1,Monthly
2012-01-01,Female,29.2,Monthly
2012-02-01,Female,29.1,Monthly
2012-03-01,Female,29,Monthly
2012-04-01,Female,29,Monthly
2012-05-01,Female,28.8,Monthly
2012-06-01,Female,28.5,Monthly
2012-07-01,Female,28.6,Monthly
2012-08-01,Female,28.6,Monthly
2012-09-01,Female,28.7,Monthly
2012-10-01,Female,28.3,Monthly
2012-11-01,Female,28.1,Monthly
2012-12-01,Female,28.1,Monthly
2013-01-01,Female,28,Monthly
2013-02-01,Female,28.1,Monthly
2013-03-01,Female,28.1,Monthly
2013-04-01,Female,28.2,Monthly
2013-05-01,Female,28.1,Monthly
2013-06-01,Female,28.1,Monthly
2013-07-01,Female,28.1,Monthly
2013-08-01,Female,28,Monthly
2013-09-01,Female,27.9,Monthly
2013-10-01,Female,27.9,Monthly
2013-11-01,Female,27.9,Monthly
2013-12-01,Female,27.8,Monthly
2014-01-01,Female,27.7,Monthly
2014-02-01,Female,27.7,Monthly
2014-03-01,Female,27.6,Monthly
2014-04-01,Female,27.4,Monthly
2014-05-01,Female,27.6,Monthly
2014-06-01,Female,27.8,Monthly
2014-07-01,Female,27.7,Monthly
2014-08-01,Female,27.7,Monthly
2014-09-01,Female,27.6,Monthly
2014-10-01,Female,27.6,Monthly
2014-11-01,Female,27.5,Monthly
2014-12-01,Female,27.4,Monthly
2015-01-01,Female,27.4,Monthly
2015-02-01,Female,27.4,Monthly
2015-03-01,Female,27.4,Monthly
2015-04-01,Female,27.3,Monthly
2015-05-01,Female,27.3,Monthly
2015-06-01,Female,27.3,Monthly
2015-07-01,Female,27.5,Monthly
2015-08-01,Female,27.2,Monthly
2015-09-01,Female,27.3,Monthly
2015-10-01,Female,27.3,Monthly
2015-11-01,Female,27.2,Monthly
2015-12-01,Female,27.2,Monthly
2016-01-01,Female,27.1,Monthly
2016-02-01,Female,27.2,Monthly
2016-03-01,Female,27.1,Monthly
2016-04-01,Female,26.8,Monthly
2016-05-01,Female,26.8,Monthly
2016-06-01,Female,26.7,Monthly
2016-07-01,Female,26.7,Monthly
2016-08-01,Female,26.8,Monthly
2016-09-01,Female,26.7,Monthly
2016-10-01,Female,26.7,Monthly
2016-11-01,Female,26.6,Monthly
2016-12-01,Female,26.8,Monthly
2017-01-01,Female,26.7,Monthly
2017-02-01,Female,26.6,Monthly
2017-03-01,Female,26.5,Monthly
2017-04-01,Female,26.4,Monthly
2017-05-01,Female,26.3,Monthly
2017-06-01,Female,26,Monthly
2017-07-01,Female,26.1,Monthly
2017-08-01,Female,26.2,Monthly
2017-09-01,Female,26.1,Monthly
2017-10-01,Female,26,Monthly
2017-11-01,Female,26,Monthly
2017-12-01,Female,25.8,Monthly
2018-01-01,Female,25.8,Monthly
2018-02-01,Female,25.7,Monthly
2018-03-01,Female,25.6,Monthly
2018-04-01,Female,25.7,Monthly
2018-05-01,Female,25.9,Monthly
2018-06-01,Female,26,Monthly
2018-07-01,Female,26,Monthly
2018-08-01,Female,25.9,Monthly
2018-09-01,Female,25.8,Monthly
2018-10-01,Female,25.7,Monthly
2018-11-01,Female,25.7,Monthly
2018-12-01,Female,25.3,Monthly
2019-01-01,Female,25.3,Monthly
2019-02-01,Female,25.3,Monthly
2019-03-01,Female,25.2,Monthly
2019-04-01,Female,25.3,Monthly
2019-05-01,Female,25.1,Monthly
2019-06-01,Female,25.2,Monthly
2019-07-01,Female,25.6,Monthly
2019-08-01,Female,25.4,Monthly
2019-09-01,Female,25.3,Monthly
2019-10-01,Female,24.9,Monthly
2019-11-01,Female,24.8,Monthly
2019-12-01,Female,24.7,Monthly
2020-01-01,Female,24.5,Monthly
2020-02-01,Female,24.6,Monthly
2020-03-01,Female,24.9,Monthly
2020-04-01,Female,24.9,Monthly
2020-05-01,Female,25.1,Monthly
2020-06-01,Female,25,Monthly
2020-07-01,Female,25,Monthly
2020-08-01,Female,24.9,Monthly
2020-09-01,Female,24.7,Monthly
2020-10-01,Female,24.7,Monthly
2020-11-01,Female,24.8,Monthly
2020-12-01,Female,24.8,Monthly
2021-01-01,Female,24.6,Monthly
2021-02-01,Female,24.8,Monthly
2021-03-01,Female,24.7,Monthly
2021-04-01,Female,24.8,Monthly
2021-05-01,Female,24.6,Monthly
2021-06-01,Female,24.7,Monthly
2021-07-01,Female,24.7,Monthly
2021-08-01,Female,24.8,Monthly
2021-09-01,Female,24.9,Monthly
2021-10-01,Female,24.9,Monthly
2021-11-01,Female,24.8,Monthly
2021-12-01,Female,25,Monthly
2022-01-01,Female,25.1,Monthly
2022-02-01,Female,25.1,Monthly
2022-03-01,Female,24.9,Monthly
2022-04-01,Female,24.7,Monthly
2022-05-01,Female,25.1,Monthly
2022-06-01,Female,25.3,Monthly
2022-07-01,Female,25.1,Monthly
2022-08-01,Female,25.2,Monthly
2022-09-01,Female,25.1,Monthly
2022-10-01,Female,25.2,Monthly
2022-11-01,Female,24.9,Monthly
2022-12-01,Female,25,Monthly
2023-01-01,Female,24.9,Monthly
2023-02-01,Female,25,Monthly
2023-03-01,Female,24.9,Monthly
2023-04-01,Female,24.9,Monthly
2023-05-01,Female,24.8,Monthly
